"Name","DisplayName","Events","Guid","FileName","MessageFile","SubstitutionFile","ResourceFile","Levels","Keywords","SendsTo"
"Microsoft-Windows-PrintDialogs","","57","27e76321-1e5b-4a82-ba0c-26e978f15072","PrintDialogs.dll","C:\Windows\system32\PrintDialogs.dll","","C:\Windows\system32\PrintDialogs.dll","Information","Response Time","Microsoft-Windows-PrintDialogs/Analytic"
"Microsoft-Windows-Proximity-Common","Microsoft-Windows-Proximity-Common","20","28058203-d394-4afc-b2a6-2f9155a3bb95","ProximityCommon.dll","C:\Windows\system32\ProximityCommon.dll","","C:\Windows\system32\ProximityCommon.dll","Error, Information","ProximityAssociation, Response Time","Microsoft-Windows-Proximity-Common/Informational, Microsoft-Windows-Proximity-Common/Performance, Microsoft-Windows-Proximity-Common/Diagnostic"
"Microsoft-Windows-TerminalServices-ClientActiveXCore","Microsoft-Windows-TerminalServices-ClientActiveXCore","39","28aa95bb-d444-4719-a36f-40462168127e","mstscax.dll","C:\Windows\system32\mstscax.dll","C:\Windows\system32\mstscax.dll","C:\Windows\system32\mstscax.dll","Error, Warning, Information, Verbose","AccessDenied, Disconnected, AuthFailed, LicenseError, TimedOut, InvalidState, GatewayConnectFailed, NetworkUnAvailable, DnsResolutionFailure, SignVerifFailed, ResourceFailure, LogonFailed","Application, Microsoft-Windows-TerminalServices-RDPClient/Operational, Microsoft-Windows-TerminalServices-RDPClient/Analytic, Microsoft-Windows-TerminalServices-RDPClient/Debug"
"Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task","Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task","44","28e25b07-c47f-473d-8b24-2e171cca808a","MbaeParserTask.exe","C:\Windows\system32\MbaeParserTask.exe","","C:\Windows\system32\MbaeParserTask.exe","Critical, Error, Warning, Information","","Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Analytic, Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational"
"Microsoft-Windows-Dwm-Api","Microsoft-Windows-Dwm-Api","106","292a52c4-fa27-4461-b526-54a46430bd54","dwmapi.dll","C:\Windows\system32\dwmapi.dll","","C:\Windows\system32\dwmapi.dll","Information","DwmApi","Microsoft-Windows-Dwm-API/Diagnostic"
"Microsoft-Windows-P2PIMSvc","","2","2992e9cf-4f99-48f5-a0b6-b99b11cd387d","pnrpsvc.dll","C:\Windows\system32\pnrpsvc.dll","","C:\Windows\system32\pnrpsvc.dll","","Classic","System"
"Microsoft-Windows-RasServer","Microsoft-Windows-RasServer","23","29d13147-1c2e-48ec-9994-e29dfe496eb3","rtm.dll","C:\Windows\System32\rtm.dll","","C:\Windows\System32\rtm.dll","","Classic","System"
"Microsoft-Windows-ReadyBoostDriver","Microsoft-Windows-ReadyBoostDriver","31","2a274310-42d5-4019-b816-e4b8c7abe95c","","C:\Windows\system32\drivers\rdyboost.sys","","C:\Windows\system32\drivers\rdyboost.sys","Information","StoreOps, ReadyBoot, StoreDiag, StoreContentsRundown, SQM","Microsoft-Windows-ReadyBoostDriver/Analytic, Microsoft-Windows-ReadyBoostDriver/Operational"
"Microsoft-Windows-IPMIProvider","Microsoft-Windows-IPMI WMI Provider","2","2a45d52e-bbf3-4843-8e18-b356ed5f6a65","ipmiprr.dll","C:\Windows\system32\wbem\ipmiprr.dll","","C:\Windows\system32\wbem\ipmiprr.dll","","Classic","HardwareEvents"
"Microsoft-Windows-MFH264Enc","Microsoft-Windows-MFH264Enc","8","2a49de31-8a5b-4d3a-a904-7fc7409ae90d","MFH264Enc.dll","C:\Windows\system32\MFH264Enc.dll","","C:\Windows\system32\MFH264Enc.dll","Information","","WINDOWS_MFH264Enc_CHANNEL"
