Name: MediaFoundationMediaEngine|Provider: Microsoft-Windows-MediaEngine|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\MediaFoundationMediaEngine.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: MediaFoundationPerformance|Provider: Microsoft-Windows-MediaFoundation-Performance|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\MediaFoundationPerformance.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: MediaFoundationPerformanceCore|Provider: Microsoft-Windows-MediaFoundation-Performance-Core|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\MediaFoundationPerformanceCore.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: MediaFoundationPipeline|Provider: Microsoft-Windows-MF|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\MediaFoundationPipeline.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: MediaFoundationPlatform|Provider: Microsoft-Windows-MediaFoundation-Platform|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\MediaFoundationPlatform.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: MediaFoundationSrcPrefetch|Provider: Microsoft-Windows-MF|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\MediaFoundationSrcPrefetch.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: MF_MediaFoundationDeviceProxy|Provider: Microsoft-Windows-MF|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\MF_MediaFoundationDeviceProxy.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Microsoft-AppV-Client-Streamingux/Debug|Provider: Microsoft-AppV-Client-StreamingUX|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Debug|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Microsoft-AppV-Client-Streamingux%4Debug.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Microsoft-AppV-Client/Admin|Provider: Microsoft-AppV-Client|MaximumSize: 10240Retention: Circular|Enabled: True|Classic: False|LogType: Administrative|Isolation: System|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Microsoft-AppV-Client%4Admin.evtxSecurityDescriptor: O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Microsoft-AppV-Client/Debug|Provider: Microsoft-AppV-ServiceLog|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Debug|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Microsoft-AppV-Client%4Debug.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Microsoft-AppV-Client/Operational|Provider: Microsoft-AppV-Client|MaximumSize: 10240Retention: Circular|Enabled: True|Classic: False|LogType: Operational|Isolation: System|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Microsoft-AppV-Client%4Operational.evtxSecurityDescriptor: O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Microsoft-AppV-Client/Virtual Applications|Provider: Microsoft-AppV-Client|MaximumSize: 10240Retention: Circular|Enabled: True|Classic: False|LogType: Administrative|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Microsoft-AppV-Client%4Virtual Applications.evtxSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Microsoft-AppV-SharedPerformance/Analytic|Provider: Microsoft-AppV-SharedPerformance|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Microsoft-AppV-SharedPerformance%4Analytic.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Microsoft-Client-Licensing-Platform/Admin|Provider: Microsoft-Client-Licensing-Platform|MaximumSize: 1028Retention: Circular|Enabled: True|Classic: False|LogType: Administrative|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Microsoft-Client-Licensing-Platform%4Admin.evtxSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Microsoft-Client-Licensing-Platform/Debug|Provider: Microsoft-Client-Licensing-Platform|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Debug|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Microsoft-Client-Licensing-Platform%4Debug.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Microsoft-Client-Licensing-Platform/Diagnostic|Provider: Microsoft-Client-Licensing-Platform|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Microsoft-Client-Licensing-Platform%4Diagnostic.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
